model_name,context_size,duration_seconds,tokens_per_second,success,error_message,response_text,response_tokens,response_length,time_to_first_token,total_generation_time,tokens_per_second_generation,streaming_chunks
claude-opus-4.1,1,1.7430989742279053,0.5736908889198008,True,,,,,,,,
claude-opus-4.1,1,1.4420559406280518,0.693454374290414,True,,,,,,,,
claude-opus-4.1,1,1.4977259635925293,0.6676788840605687,True,,,,,,,,
claude-opus-4.1,10,1.4848170280456543,6.734836556368295,True,,,,,,,,
claude-opus-4.1,10,1.427799940109253,7.003782336084715,True,,,,,,,,
claude-opus-4.1,10,1.5783488750457764,6.3357348670521105,True,,,,,,,,
claude-opus-4.1,100,1.431301832199097,69.86646544450858,True,,,,,,,,
claude-opus-4.1,100,2.773120880126953,36.060454744916136,True,,,,,,,,
claude-opus-4.1,100,1.3823659420013428,72.33974518731515,True,,,,,,,,
claude-opus-4.1,1000,1.625288963317871,615.2752049448463,True,,,,,,,,
claude-opus-4.1,1000,1.4935507774353027,669.5453647161439,True,,,,,,,,
claude-opus-4.1,1000,1.914463996887207,522.3394128204732,True,,,,,,,,
claude-opus-4.1,10000,1.796144723892212,5568.036844118006,True,,,,,,,,
claude-opus-4.1,10000,2.031480073928833,4922.519363264166,True,,,,,,,,
claude-opus-4.1,10000,1.962862968444824,5094.599144596934,True,,,,,,,,
claude-opus-4.1,100000,13.23197078704834,7557.453202502651,True,,,,,,,,
claude-opus-4.1,100000,7.524626731872559,13289.695763435466,True,,,,,,,,
claude-opus-4.1,100000,10.368387699127195,9644.79752318849,True,,,,,,,,
claude-sonnet-4,1,1.1938049793243408,0.837657755930932,True,,,,,,,,
claude-sonnet-4,1,1.7575361728668213,0.5689783319616352,True,,,,,,,,
claude-sonnet-4,1,1.13043475151062,0.8846154089510094,True,,,,,,,,
claude-sonnet-4,10,1.138038158416748,8.787051581743196,True,,,,,,,,
claude-sonnet-4,10,1.1360092163085938,8.802745485194663,True,,,,,,,,
claude-sonnet-4,10,1.6697218418121338,5.989021494231094,True,,,,,,,,
claude-sonnet-4,100,1.0557351112365725,94.72072959936985,True,,,,,,,,
claude-sonnet-4,100,0.9683504104614258,103.2684025531102,True,,,,,,,,
claude-sonnet-4,100,1.3443219661712646,74.38694190559715,True,,,,,,,,
claude-sonnet-4,1000,1.2589178085327148,794.3330320869105,True,,,,,,,,
claude-sonnet-4,1000,1.2913849353790283,774.3624481003371,True,,,,,,,,
claude-sonnet-4,1000,1.3824219703674316,723.3681332004668,True,,,,,,,,
claude-sonnet-4,10000,1.587416172027588,6299.545246050453,True,,,,,,,,
claude-sonnet-4,10000,1.4593737125396729,6852.25443906175,True,,,,,,,,
claude-sonnet-4,10000,1.6292800903320312,6137.680107514294,True,,,,,,,,
claude-sonnet-4,100000,7.85132908821106,12736.697045364226,True,,,,,,,,
claude-sonnet-4,100000,5.244058132171631,19069.20127115157,True,,,,,,,,
claude-sonnet-4,100000,5.281278133392334,18934.81037624633,True,,,,,,,,
